,fips_code,county,total_2008,total_2012,total_2016
0,26041,Delta County,19064,18043,18467
1,48295,Lipscomb County,1256,1168,1322
2,1127,Walker County,28652,28497,29243
3,48389,Reeves County,3077,2867,3184
4,56017,Hot Springs County,2546,2495,2535
5,20043,Doniphan County,3564,3369,3366
6,37183,Wake County,442245,526805,510940
7,37147,Pitt County,74884,76814,78264
8,48497,Wise County,20639,20692,24661
9,21207,Russell County,7475,7907,8171
10,5053,Grant County,6793,6478,6855
11,31147,Richardson County,3968,3680,3666
12,47123,Monroe County,16777,16320,17050
13,36059,Nassau County,635618,460824,599649
14,1011,Bullock County,5415,5318,4701
15,42057,Fulton County,6306,6148,6743
16,20031,Coffey County,4232,3839,3962
17,31151,Saline County,5251,4832,4795
18,31035,Clay County,3033,2916,2973
19,28033,DeSoto County,64323,64026,64022
20,22061,Lincoln Parish,19179,18974,18664
21,40129,Roger Mills County,1789,1674,1758
22,22057,Lafourche Parish,37893,38725,41644
23,40135,Sequoyah County,13920,13766,14437
24,51153,Prince William County,162446,179648,144854
25,23031,York County,109161,107627,113962
26,23015,Lincoln County,21584,20668,21432
27,47025,Claiborne County,10420,10178,10706
28,29063,DeKalb County,4683,4350,4590
29,42045,Delaware County,297004,272853,284832
30,12119,Sumter County,48868,60471,76649
31,36055,Monroe County,356424,308925,320164
32,18045,Fountain County,7410,7103,7474
33,39063,Hancock County,36981,34940,35216
34,34009,Cape May County,50835,47243,48375
35,28047,Harrison County,61957,61602,62076
36,5141,Van Buren County,6703,6421,7111
37,48343,Morris County,5248,5129,4964
38,30073,Pondera County,2885,2704,2692
39,47181,Wayne County,5527,5484,5842
40,48153,Floyd County,2521,2085,1958
41,46119,Sully County,833,816,861
42,19097,Jackson County,9955,10166,10204
43,28087,Lowndes County,27465,24674,25139
44,17155,Putnam County,3337,3132,3076
45,45073,Oconee County,31132,30613,33530
46,36101,Steuben County,41911,35659,38373
47,37143,Perquimans County,6501,6621,6595
48,28035,Forrest County,27184,27789,27284
49,31027,Cedar County,4174,4260,4360
50,13141,Hancock County,4344,4076,3572
51,39091,Logan County,22217,20535,21007
52,39059,Guernsey County,17325,16403,16156
53,48297,Live Oak County,4176,4108,4267
54,47151,Scott County,6783,6668,7123
55,30027,Fergus County,6232,6044,5782
56,35021,Harding County,626,600,527
57,23027,Waldo County,21850,20976,22630
58,49007,Carbon County,7777,7231,7654
59,20053,Ellsworth County,2938,2677,2626
60,27113,Pennington County,6822,6493,6671
61,27159,Wadena County,7169,6772,6894
62,18131,Pulaski County,5964,5399,5437
63,38041,Hettinger County,1348,1351,1261
64,28003,Alcorn County,15182,14682,14781
65,19143,Osceola County,3127,3179,3197
66,50009,Essex County,3101,2769,2706
67,1015,Calhoun County,49242,46240,47376
68,13253,Seminole County,3996,3765,3577
69,6105,Trinity County,6374,5030,4716
70,17181,Union County,9116,8274,8514
71,31055,Douglas County,226701,210501,219531
72,51670,Hopewell City,9524,9011,8968
73,20095,Kingman County,3664,3199,3281
74,21209,Scott County,19730,20565,24159
75,48467,Van Zandt County,20395,19081,21689
76,31177,Washington County,10320,10121,10584
77,29199,Scotland County,2098,1936,1968
78,47027,Clay County,2994,2820,2919
79,55111,Sauk County,30626,31832,33848
80,48045,Briscoe County,830,700,734
81,45007,Anderson County,73787,71901,80296
82,48125,Dickens County,972,1019,909
83,19173,Taylor County,3026,2978,3003
84,37193,Wilkes County,29724,28852,30844
85,27081,Lincoln County,3126,3113,3002
86,48369,Parmer County,3713,2545,2818
87,1005,Barbour County,11630,11459,10390
88,42125,Washington County,98047,90078,96945
89,51035,Carroll County,12579,12315,13587
90,47033,Crockett County,6037,5497,5386
91,39021,Champaign County,18887,20016,17597
92,36049,Lewis County,11138,9481,10312
93,29143,New Madrid County,8092,7250,7352
94,51135,Nottoway County,6988,6844,6717
95,26089,Leelanau County,14464,14164,14757
96,48275,Knox County,1368,1510,1358
97,51073,Gloucester County,19222,19246,19524
98,35051,Sierra County,5485,5101,5129
99,6069,San Benito County,19705,14972,11758
100,41051,Multnomah County,364710,344614,357762
101,51610,Falls Church City,6750,7244,7667
102,48195,Hansford County,2102,1960,1947
103,13025,Brantley County,6277,6001,6285
104,27079,Le Sueur County,15009,14730,14867
105,36061,New York County,667594,496293,591368
106,18073,Jasper County,12875,12891,13331
107,21183,Ohio County,9938,9646,10398
108,21081,Grant County,8754,8606,9551
109,5025,Cleveland County,3505,3266,3299
110,27055,Houston County,10883,10422,10515
111,37129,New Hanover County,100665,102067,108737
112,26013,Baraga County,3644,3490,3486
113,48189,Hale County,9943,8765,8802
114,20171,Scott County,2179,2019,2159
115,48211,Hemphill County,1570,1509,1687
116,15007,Kauai County,27224,25369,26335
117,54047,McDowell County,6430,6136,6179
118,22043,Grant Parish,8558,8666,8819
119,39143,Sandusky County,30373,28192,27491
120,48465,Val Verde County,12820,12040,13476
121,48279,Lamb County,4525,4089,3905
122,37041,Chowan County,7512,7424,7108
123,38085,Sioux County,1378,1138,1177
124,39115,Morgan County,6608,6042,6290
125,1057,Fayette County,7957,7912,8196
126,22017,Caddo Parish,108660,111516,105737
127,13191,McIntosh County,6229,6333,5893
128,51109,Louisa County,15353,16404,17507
129,46121,Todd County,2828,2497,2125
130,31085,Hayes County,553,535,510
131,55113,Sawyer County,9085,9003,7767
132,6083,Santa Barbara County,174912,147249,139366
133,51820,Waynesboro City,8860,8772,9114
134,28049,Hinds County,108902,97639,91536
135,44003,Kent County,83678,77247,79691
136,21229,Washington County,5275,5218,5621
137,37065,Edgecombe County,25930,26826,24653
138,27029,Clearwater County,4261,4183,4225
139,17061,Greene County,5807,5614,5542
140,21029,Bullitt County,30726,31775,36036
141,51071,Giles County,7795,7544,8196
142,20083,Hodgeman County,1096,1050,1006
143,20045,Douglas County,53398,46283,48231
144,40097,Mayes County,15983,14456,15712
145,22105,Tangipahoa Parish,48602,50090,52381
146,36013,Chautauqua County,58802,48434,49381
147,25007,Dukes County,10553,10914,11434
148,20127,Morris County,2841,2526,2568
149,48141,El Paso County,185233,171053,210458
150,30025,Fallon County,1432,1399,1474
151,55019,Clark County,14187,13740,13548
152,19165,Shelby County,6453,6456,6270
153,13103,Effingham County,20316,20779,23395
154,55011,Buffalo County,7000,7008,6921
155,31051,Dixon County,2794,2666,2744
156,41023,Grant County,3909,3778,4171
157,24033,Prince George's County,374026,352292,351091
158,29219,Warren County,15576,14676,15766
159,36051,Livingston County,30149,24606,31363
160,48391,Refugio County,3261,2673,2945
161,22013,Bienville Parish,7430,7203,7005
162,22023,Cameron Parish,3793,3744,3692
163,17045,Edgar County,8255,7810,7783
164,21047,Christian County,22778,21953,22069
165,13193,Macon County,4981,4781,4287
166,1003,Baldwin County,81413,84988,94090
167,38105,Williams County,9373,9600,12529
168,19105,Jones County,10004,10371,10011
169,22095,Saint John the Baptist Parish,21656,21122,20740
170,32031,Washoe County,179175,186917,209282
171,20187,Stanton County,827,713,742
172,18139,Rush County,7629,7026,7214
173,29037,Cass County,50179,48913,50715
174,38057,Mercer County,4397,4394,4564
175,55035,Eau Claire County,55010,54595,54080
176,29079,Grundy County,4740,4374,4413
177,47077,Henderson County,10834,10051,10172
178,35029,Luna County,8340,7472,7245
179,47173,Union County,6399,5820,6204
180,48005,Angelina County,29153,28403,29870
181,46061,Hanson County,2431,2416,2006
182,48271,Kinney County,1551,1425,1424
183,39031,Coshocton County,16863,15555,14961
184,40043,Dewey County,2203,2070,2246
185,6065,Riverside County,647299,589721,517200
186,30109,Wibaux County,561,544,533
